R1;R2;R3;R4;R5;label
0.0;0.0;0.0;0.0;0.0;0
0.0;0.0;0.0;0.0;0.71;5
0.0;0.0;0.0;0.0;0.06;5
0.0;0.0;0.0;0.0;0.0;0
0.02;0.06;0.2;0.7;1.81;1
0.01;0.03;0.19;0.45;1.07;1
0.01;0.06;0.24;0.56;1.38;1
0.0;0.04;0.12;0.23;1.07;1
0.0;0.05;0.13;0.44;1.36;1
0.01;0.05;0.14;0.52;1.83;1
0.03;0.06;0.18;0.47;1.43;1
0.04;0.08;0.23;0.55;1.16;1
0.02;0.04;0.18;0.43;0.98;1
0.03;0.14;0.25;0.6;1.32;1
0.01;0.02;0.1;0.63;1.98;1
0.01;0.02;0.05;0.21;1.0;1
0.0;0.03;0.25;0.73;1.75;1
0.0;0.01;0.08;0.51;1.53;1
0.0;0.03;0.17;0.45;1.04;1
0.01;0.01;0.07;0.19;0.95;1
0.01;0.04;0.22;0.5;1.27;1
0.03;0.08;0.23;0.51;1.12;1
0.0;0.03;0.13;0.53;1.19;1
0.02;0.09;0.21;0.59;1.53;1
0.03;0.06;0.12;0.4;1.35;1
0.0;0.04;0.19;0.46;1.04;1
0.01;0.04;0.19;0.65;1.49;1
0.01;0.06;0.15;0.44;1.46;1
0.01;0.07;0.19;0.6;1.78;1
0.0;0.04;0.14;0.68;1.91;1
0.01;0.03;0.21;0.71;1.44;1
0.01;0.05;0.15;0.34;1.38;1
0.02;0.06;0.12;0.4;1.39;1
0.01;0.04;0.19;0.6;1.81;1
0.0;0.01;0.13;0.56;1.5;1
0.0;0.03;0.1;0.37;1.3;1
0.0;0.03;0.18;0.66;1.6;1
0.02;0.07;0.24;0.56;1.31;1
0.03;0.09;0.23;0.53;1.21;1
0.02;0.12;0.23;0.57;1.27;1
0.02;0.02;0.08;0.65;1.98;1
0.01;0.04;0.22;0.55;1.74;1
0.01;0.06;0.18;0.66;1.43;1
0.0;0.04;0.09;0.65;1.85;1
0.02;0.05;0.23;0.66;1.69;1
0.02;0.04;0.13;0.37;0.95;1
0.01;0.04;0.12;0.35;0.98;1
0.01;0.05;0.14;0.42;1.32;1
0.03;0.07;0.21;0.54;1.35;1
0.0;0.03;0.08;0.34;0.99;1
0.0;0.08;0.26;0.55;1.2;1
0.01;0.03;0.13;0.71;1.74;1
0.01;0.02;0.11;0.63;1.72;1
0.0;0.06;0.23;0.59;1.39;1
0.0;0.03;0.2;0.63;1.48;1
0.0;0.03;0.15;0.62;1.71;1
0.03;0.05;0.21;0.75;1.7;1
0.0;0.03;0.18;0.79;1.9;1
0.03;0.11;0.23;0.61;1.28;1
0.01;0.03;0.18;0.44;1.05;1
0.0;0.03;0.14;0.55;1.65;1
0.02;0.08;0.22;0.6;1.21;1
0.02;0.05;0.16;0.44;1.37;1
0.0;0.02;0.09;0.47;1.19;1
0.0;0.01;0.14;0.71;1.91;1
0.0;0.01;0.13;0.62;1.64;1
0.0;0.02;0.07;0.19;0.89;1
0.01;0.04;0.21;0.78;1.88;1
0.02;0.04;0.16;0.42;1.04;1
0.01;0.03;0.22;0.77;1.65;1
0.01;0.03;0.16;0.47;1.49;1
0.03;0.08;0.24;0.59;1.36;1
0.03;0.1;0.21;0.65;1.61;1
0.02;0.08;0.24;0.56;1.26;1
0.0;0.07;0.24;0.68;1.63;1
0.0;0.02;0.2;0.6;1.88;1
0.0;0.03;0.1;0.67;1.88;1
0.01;0.06;0.28;0.57;1.39;1
0.0;0.03;0.15;0.68;1.72;1
0.0;0.04;0.17;0.55;1.79;1
0.0;0.01;0.07;0.34;1.12;1
0.01;0.05;0.2;0.78;1.88;1
0.0;0.02;0.12;0.37;1.28;1
0.01;0.01;0.11;0.39;0.92;1
0.02;0.05;0.09;0.23;0.9;1
0.02;0.08;0.23;0.54;1.16;1
0.01;0.04;0.13;0.39;1.08;1
0.01;0.03;0.17;0.67;1.93;1
0.0;0.01;0.09;0.46;1.28;1
0.0;0.02;0.15;0.45;1.34;1
0.0;0.03;0.21;0.5;1.09;1
0.0;0.03;0.16;0.49;1.36;1
0.0;0.02;0.16;0.56;1.53;1
0.0;0.05;0.19;0.66;1.51;1
0.01;0.06;0.19;0.54;1.46;1
0.01;0.03;0.09;0.67;1.91;1
0.03;0.04;0.14;0.35;0.97;1
0.02;0.06;0.17;0.75;1.77;1
0.0;0.05;0.24;0.59;1.28;1
0.03;0.11;0.26;0.62;1.34;1
0.02;0.06;0.24;0.54;1.26;1
0.01;0.02;0.09;0.41;1.1;1
0.03;0.07;0.17;0.52;1.3;1
