R1;R2;R3;R4;R5;label
0.0;0.0;0.0;0.0;0.0;0
0.0;0.0;0.0;0.0;0.0;0
0.0;0.0;1.0;1.0;1.0;1
0.0;0.0;0.5;1.0;1.0;1
0.0;0.0;0.5;1.0;1.0;1
0.0;0.0;0.0;5.5;8.0;5
0.0;2.0;5.5;7.5;8.0;3
0.0;2.0;5.5;8.0;8.0;3
0.0;2.5;6.5;7.5;8.0;3
0.0;2.5;6.5;8.0;8.0;3
0.0;2.0;5.5;8.0;8.0;3
0.0;2.0;5.5;8.0;8.0;3
0.0;2.0;5.0;7.5;8.0;3
0.0;2.0;5.0;7.5;8.0;3
0.0;3.5;7.0;7.5;8.0;3
0.0;3.5;7.0;8.0;8.0;3
0.0;4.0;7.5;8.0;8.0;3
0.0;4.0;7.5;8.0;8.0;3
0.0;3.5;7.0;8.0;8.0;3
0.0;3.5;7.0;8.0;8.0;3
0.0;2.0;5.0;8.0;8.0;3
0.0;2.0;5.0;8.0;8.0;3
0.0;0.0;0.5;1.5;4.0;4
0.0;0.0;0.5;1.5;4.0;4
0.0;0.0;1.0;1.5;4.5;4
0.0;0.0;1.0;1.5;4.5;4
0.0;0.0;0.5;1.5;3.5;4
0.0;0.0;0.5;1.5;3.5;4
0.0;0.0;0.5;1.0;5.5;4
0.0;0.0;0.5;1.0;5.5;4
0.0;0.0;1.0;1.5;7.5;4
0.0;0.0;1.0;1.5;7.5;4
0.0;0.0;1.0;2.5;8.0;4
0.0;0.0;1.0;2.5;8.0;4
0.0;0.0;1.0;3.0;9.0;4
0.0;0.0;1.0;3.0;9.0;4
0.0;0.0;1.0;2.0;8.0;4
0.0;0.0;1.0;2.0;8.0;4
0.0;0.0;0.5;1.0;7.0;4
0.0;0.0;0.5;1.0;7.0;4
0.0;0.0;0.5;1.5;7.0;4
0.0;0.0;0.5;1.5;7.0;4
0.0;0.0;1.0;2.0;8.5;4
0.0;0.0;1.0;2.0;8.5;4
0.0;0.0;1.0;3.0;10.0;4
0.0;0.0;1.0;3.0;10.0;4
0.0;0.0;1.0;3.0;11.0;4
0.0;0.0;1.0;3.0;11.0;4
0.0;0.0;1.0;3.0;12.5;4
0.0;0.0;1.0;3.0;12.5;4
0.0;0.0;1.0;3.0;10.5;4
0.0;0.0;1.0;3.0;10.5;4
0.0;0.0;1.0;3.0;9.5;4
0.0;0.0;1.0;3.0;9.5;4
0.0;0.0;1.0;2.0;8.0;4
0.0;0.0;1.0;2.0;8.0;4
0.0;0.0;0.5;1.5;6.5;4
0.0;0.0;0.5;1.5;6.5;4
